시도,시군구,총계-개소수,총계-이용량,전작용-개소수,전작용-이용량,답작용-개소수,답작용-이용량,원예용-개소수,원예용-이용량,수산업용-개소수,수산업용-이용량,축산업용-개소수,축산업용-이용량,양어장용-개소수,양어장용-이용량,기타-개소수,기타-이용량
전라북도,남원시,20742,18028820,1842,3124643,16932,11255535,944,1142382,624,721343,312,1576757,9,84166,79,123994
전라북도,무주군,1418,4696037,815,1474388,210,224530,77,105593,0,0,5,9565,0,0,311,2881961
전라북도,부안군,10034,6135735,680,795073,7805,3369649,362,154672,7,110694,73,157220,13,255013,1094,1293414
전라북도,순창군,9126,9547145,498,884874,8434,6506889,78,104444,0,0,40,418866,5,519,71,1631553
전라북도,옥구군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라북도,완주군,11835,13489141,3595,6108868,7300,5457496,721,865214,3,36135,115,352488,16,126780,85,542160
전라북도,이리시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라북도,익산군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라북도,익산시,11911,8959746,625,1049136,10646,6527554,361,433985,7,182555,128,268621,16,229630,128,268265
전라북도,임실군,4759,7459346,368,773237,4221,5727263,75,182744,1,244,31,112852,11,274520,52,388486
전라북도,장수군,3659,6185086,868,1850604,2236,1781490,327,439974,0,0,26,231806,0,0,202,1881212
전라북도,전주시,2409,4750230,1423,2699589,691,794730,201,341158,0,0,4,30663,6,50704,84,833386
전라북도,전주시 덕진구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라북도,전주시 완산구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라북도,정읍군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라북도,정읍시,19433,18381678,2674,4460812,14542,10280108,213,263047,0,0,147,193575,14,7200,1843,3176936
전라북도,정주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라북도,진안군,2021,9229353,380,1488849,1310,5412112,47,147051,0,0,65,148817,4,37800,215,1994724
전라남도,강진군,5365,6317916,212,362650,4706,4262186,133,174399,8,188705,46,320664,29,803785,231,205527
전라남도,고흥군,10523,9058347,1688,3178081,7933,4455206,853,1158985,17,131663,5,25430,6,19394,21,89588
전라남도,곡성군,8346,14204146,1556,2714390,4857,3787426,1396,5958351,1,0,68,256304,26,546832,442,940843
전라남도,광산군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,광양군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,광양시,3321,8499203,610,1688657,1750,5653230,801,766277,2,2529,24,31620,12,10451,122,346439
전라남도,광주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,광주시 동구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,광주시 북구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,광주시 서구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,구례군,2194,2948865,605,1043483,1121,1093022,144,189381,0,0,7,2047,3,69350,314,551582
전라남도,금성시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,나주군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,나주시,5420,11206424,879,1499226,1409,960496,1525,1832243,1,270,109,89709,16,483600,1481,6340880
전라남도,담양군,9119,60479900,508,3008702,6102,41617058,2144,14179729,1,9000,136,534450,20,193573,208,937388
전라남도,동광양시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,목포시,104,345758,54,101193,40,53696,1,12510,2,3600,0,0,2,5456,5,169303
전라남도,무안군,14393,17763673,6742,11369810,6799,5112854,708,876397,2,4182,84,141053,7,197665,51,61712
전라남도,보성군,6280,6425908,413,741241,5342,4485401,348,444577,2,11623,7,15205,1,18250,167,709611
전라남도,송정시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,순천시,7816,23575450,1257,4993926,5980,16407186,300,1194230,13,39780,32,40823,7,43358,227,856147
전라남도,승주군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,신안군,372,1302533,124,320488,160,726011,0,0,3,0,1,6480,0,0,84,249554
전라남도,여수시,3557,3778062,1287,2263558,1800,679808,381,391458,29,146048,9,16249,7,101360,44,179581
전라남도,여천군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,여천시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,영광군,7022,10974256,4125,7227679,2637,2017013,94,114785,13,301660,79,186920,61,1072452,13,53747
전라남도,영암군,4317,9635040,1303,2392021,2128,2636400,691,1102259,0,0,25,173660,15,421028,155,2909672
전라남도,완도군,3001,11481712,331,2409923,680,3930611,456,2435611,123,78078,3,1884,5,141774,1403,2483831
전라남도,장성군,4776,6006568,557,980319,3513,2883486,597,980693,2,18250,23,236333,9,134685,75,772802
전라남도,장흥군,4110,13127820,576,1345503,3026,9421996,136,627872,14,154510,242,652468,24,511771,92,413700
전라남도,진도군,2197,3588160,944,1716741,1037,921413,161,212831,1,7300,5,74825,6,166075,43,488975
전라남도,함평군,7101,11849570,917,2621920,5615,6641029,294,569351,16,149350,69,437215,40,365708,150,1064997
전라남도,해남군,19590,24002365,4894,8572309,13384,13505490,806,1452171,35,58045,194,103604,23,73497,254,237249
전라남도,화순군,1503,2190129,252,455404,750,740074,236,330709,1,7300,25,52797,6,36650,233,567195
경상북도,경산군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
